accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	cultivar	ecotype	age	dev_stage	geo_loc_name	tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
SAMN09924213	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S016		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S016			4-6 weeks		not applicable	Leaf																					
SAMN09924214	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S017		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S017			4-6 weeks		not applicable	Leaf																					
SAMN09924215	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S018		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S018			4-6 weeks		not applicable	Leaf																					
SAMN09924216	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S020		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S020			4-6 weeks		not applicable	Leaf																					
SAMN09924217	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S021		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S021			4-6 weeks		not applicable	Leaf																					
SAMN09924218	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S022		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S022			4-6 weeks		not applicable	Leaf																					
SAMN09924219	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S023		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S023			4-6 weeks		not applicable	Leaf																					
SAMN09924220	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S024		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S024			4-6 weeks		not applicable	Leaf																					
SAMN09924221	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S025		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S025			4-6 weeks		not applicable	Leaf																					
SAMN09924222	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S026		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S026			4-6 weeks		not applicable	Leaf																					
SAMN09924223	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S027		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S027			4-6 weeks		not applicable	Leaf																					
SAMN09924224	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S028		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S028			4-6 weeks		not applicable	Leaf																					
SAMN09924225	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S029		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S029			4-6 weeks		not applicable	Leaf																					
